peak_frac,scenario,scenario_label,N_valid,metric,estimate,bootstrap_se,ci_low,ci_high,unit
0.7,S2_High_Conc,High/Concentrated,400,daily_wind_curt_MWh,0.25544719063236,0.139112646889073,0.0180032953016905,0.546900971868101,MWh/day
0.7,S2_High_Conc,High/Concentrated,400,daily_vmin,0.989717405391876,0.000273597343168093,0.989155457178524,0.990223003424444,p.u.
0.7,S2_High_Conc,High/Concentrated,400,daily_vmax,1.05999999855512,2.87792299098523e-11,1.05999999850051,1.05999999860864,p.u.
0.7,S2_High_Conc,High/Concentrated,400,daily_vviol_hours,531.285,1.64185280666463,528.07,534.595,bus-hours/day
0.7,S2_High_Conc,High/Concentrated,400,curtailment_trajectory_probability,1.25,0.520396603803773,0.25,2.25,%
0.7,S3_Low_Dist,Low/Distributed,400,daily_cost,1122502.42166634,975.95022551189,1120626.7183793,1124348.90831343,currency/day
0.7,S3_Low_Dist,Low/Distributed,400,daily_loss_MWh,1296.94717656453,0.968995179578688,1295.05079506278,1298.7742620938,MWh/day
0.7,S3_Low_Dist,Low/Distributed,400,daily_solar_curt_MWh,0,0,0,0,MWh/day
0.7,S3_Low_Dist,Low/Distributed,400,daily_wind_curt_MWh,0,0,0,0,MWh/day
0.7,S3_Low_Dist,Low/Distributed,400,daily_vmin,0.990718433679797,1.36485590982116e-05,0.990693134858604,0.990749266953838,p.u.
0.7,S3_Low_Dist,Low/Distributed,400,daily_vmax,1.05999999897765,4.15699297650518e-11,1.059999998889,1.05999999904983,p.u.
0.7,S3_Low_Dist,Low/Distributed,400,daily_vviol_hours,607.805,0.490334189619712,606.92,608.835,bus-hours/day
0.7,S3_Low_Dist,Low/Distributed,400,curtailment_trajectory_probability,0,0,0,0,%
0.7,S4_High_Dist,High/Distributed,400,daily_cost,1077727.76919611,1983.62126034928,1074015.78665687,1081640.63616912,currency/day
0.7,S4_High_Dist,High/Distributed,400,daily_loss_MWh,1294.59045863311,1.40697110938557,1291.96990954566,1297.30966888183,MWh/day
0.7,S4_High_Dist,High/Distributed,400,daily_solar_curt_MWh,0,0,0,0,MWh/day
0.7,S4_High_Dist,High/Distributed,400,daily_wind_curt_MWh,0,0,0,0,MWh/day
0.7,S4_High_Dist,High/Distributed,400,daily_vmin,0.990720848155855,4.52878386608078e-05,0.990634781425462,0.990807995674577,p.u.
0.7,S4_High_Dist,High/Distributed,400,daily_vmax,1.05999999876652,4.02199640562325e-11,1.05999999868755,1.05999999884365,p.u.
0.7,S4_High_Dist,High/Distributed,400,daily_vviol_hours,590.5625,1.28402200990436,588.0775,593.145,bus-hours/day
0.7,S4_High_Dist,High/Distributed,400,curtailment_trajectory_probability,0,0,0,0,%
0.75,S1_Low_Conc,Low/Concentrated,400,daily_cost,1222053.36692538,1280.92314864501,1219405.89452719,1224477.93270133,currency/day
0.75,S1_Low_Conc,Low/Concentrated,400,daily_loss_MWh,1419.28878140728,1.19265790979506,1416.92511555978,1421.50401535371,MWh/day
0.75,S1_Low_Conc,Low/Concentrated,400,daily_solar_curt_MWh,0,0,0,0,MWh/day
0.75,S1_Low_Conc,Low/Concentrated,400,daily_wind_curt_MWh,0,0,0,0,MWh/day
0.75,S1_Low_Conc,Low/Concentrated,400,daily_vmin,0.992049107829694,2.6609117948979e-05,0.992002463233252,0.992106347373702,p.u.
0.75,S1_Low_Conc,Low/Concentrated,400,daily_vmax,1.05999999861038,2.5827188057577e-11,1.05999999855936,1.0599999986632,p.u.
0.75,S1_Low_Conc,Low/Concentrated,400,daily_vviol_hours,635.565,0.584829110468951,634.4575,636.73,bus-hours/day
0.75,S1_Low_Conc,Low/Concentrated,400,curtailment_trajectory_probability,0,0,0,0,%
