trajectory,successful_hours,solve_time_s,daily_cost,daily_loss_MWh,solar_curt_MWh,wind_curt_MWh,max_solar_curt_MW,max_wind_curt_MW,curtailed_hours
178,24,8.6672703,1110144.62238909,1366.09872448614,0,0,0,0,0
179,24,8.7798161,1049718.8377085,1303.10463493004,0,0,0,0,0
180,24,8.5749549,1117229.53912377,1336.1329505742,0,0,0,0,0
181,24,7.9781437,1098811.59924562,1408.80931418448,0,0,0,0,0
182,24,8.0512504,1093018.01555437,1339.28246074239,0,0,0,0,0
183,24,7.6218281,1077549.06868349,1318.86145609152,0,0,0,0,0
184,24,7.4484101,1031988.12419594,1276.45137321886,0,0,0,0,0
185,24,7.4449292,1086519.5678594,1313.44822849434,0,0,0,0,0
186,24,7.3387934,1096008.96295998,1341.75030346202,0,0,0,0,0
187,24,7.1407209,1094178.87082033,1345.09704652103,0,0,0,0,0
188,24,6.9317446,1095031.12070668,1366.60947395191,0,0,0,0,0
189,24,6.8939798,1089791.93359564,1352.57615706175,0,0,0,0,0
190,24,6.9342757,1068671.04037225,1368.95121115535,0,0,0,0,0
191,24,6.5826314,1107123.16479443,1302.74099264842,0,0,0,0,0
192,24,6.5468788,1109174.7799052,1358.57974093119,0,0,0,0,0
193,24,6.4445537,1103068.16286949,1351.82448731389,0,0,0,0,0
194,24,7.0284347,1040796.0207577,1286.99636665399,0,0,0,0,0
195,24,7.28963,1082798.18077529,1328.37879200113,0,0,0,0,0
196,24,7.2735662,914688.161107733,1500.11860555809,0,0,0,0,0
197,24,7.3621251,1101051.4179512,1321.81493819872,0,0,0,0,0
198,24,8.5816291,970975.339100835,1377.91010921699,0,0,0,0,0
199,24,7.6758327,1058673.98674727,1345.80791571151,0,0,0,0,0
200,24,8.7332672,1049583.53891864,1359.84261420314,0,0,0,0,0
201,24,9.9251411,1106299.21858584,1352.30038225432,0,0,0,0,0
202,24,7.3515966,1063492.0462393,1369.91638916588,0,0,0,0,0
203,24,7.0129461,998130.296758536,1296.29956261255,0,0,0,0,0
204,24,7.1860883,1101900.5225878,1328.1213536367,0,0,0,0,0
205,24,7.0804242,1005699.31147383,1512.90583965296,0,30.7897051322312,0,11.7941935057775,3
206,24,7.5287069,1126173.51745118,1348.43681430041,0,0,0,0,0
207,24,7.3411842,1105658.10207863,1333.13146269379,0,0,0,0,0
208,24,7.3740939,1061155.72763929,1335.78312827254,0,0,0,0,0
209,24,7.3336861,1024192.85654324,1335.80748694579,0,0,0,0,0
210,24,7.3770007,1074297.47276605,1295.90350386667,0,0,0,0,0
211,24,7.3797188,1121182.04908323,1370.98966260752,0,0,0,0,0
212,24,7.7079675,1087423.45031368,1342.58840188165,0,0,0,0,0
213,24,8.0217344,908722.458420519,1479.22940243247,0,0,0,0,0
214,24,7.1470625,963698.080215428,1411.4638968594,0,0,0,0,0
215,24,6.5346999,1022504.49959446,1303.09507545269,0,0,0,0,0
216,24,6.6140933,1039401.98109359,1349.79499282865,0,0,0,0,0
217,24,6.5514746,1064640.54355941,1347.23781837065,0,0,0,0,0
218,24,6.7567576,1041349.5259241,1291.32466675469,0,0,0,0,0
219,24,6.9821201,1050410.59253594,1293.85823211025,0,0,0,0,0
220,24,7.0003719,1089181.72189585,1331.85526373206,0,0,0,0,0
221,24,6.8663845,1081043.60822113,1323.84294935591,0,0,0,0,0
222,24,7.2401638,996973.148683409,1460.85616036422,0,18.9955116264538,0,11.7941935057775,2
223,24,6.9399686,1052281.63737252,1290.25081028801,0,0,0,0,0
224,24,6.8908294,1118355.13826675,1359.05024070788,0,0,0,0,0
225,24,6.8014954,1091724.51001488,1355.50291085061,0,0,0,0,0
226,24,6.919827,1079284.18387984,1323.59564608586,0,0,0,0,0
227,24,6.9242401,1073540.83942493,1278.0010570308,0,0,0,0,0
228,24,6.6922478,1059593.51153825,1318.51506706989,0,0,0,0,0
229,24,6.8329758,1016406.24857494,1327.82427138983,0,0,0,0,0
230,24,6.8175629,1044361.76158043,1318.62689273911,0,0,0,0,0
231,24,6.7909002,1033184.09174044,1319.5829763239,0,0,0,0,0
232,24,6.8901387,1062367.16571169,1299.3206604677,0,0,0,0,0
233,24,6.7374375,1062778.1145418,1312.7214076194,0,0,0,0,0
234,24,6.7211151,1100790.57571899,1373.13055921448,0,0,0,0,0
235,24,6.8474277,1125686.24762936,1345.95338405636,0,0,0,0,0
236,24,6.8241258,1125588.57695381,1343.66005211056,0,0,0,0,0
237,24,6.8453932,1095276.07721517,1344.75858933853,0,0,0,0,0
238,24,7.0141663,1075185.92639146,1305.41444692117,0,0,0,0,0
239,24,6.8491744,1105849.48121319,1389.84865986356,0,0,0,0,0
240,24,6.9170617,1097636.2678061,1348.34599975537,0,0,0,0,0
241,24,6.9556247,1112977.53897253,1350.84327024809,0,0,0,0,0
242,24,6.9081549,1067747.35144203,1344.07181036677,0,0,0,0,0
243,24,7.0041,1080911.85817462,1331.15870272755,0,0,0,0,0
244,24,6.8272403,1114169.07019824,1324.04602303207,0,0,0,0,0
245,24,7.0566375,1112450.56332022,1352.33538240632,0,0,0,0,0
246,24,6.8259011,1039548.92639235,1316.22283707412,0,0,0,0,0
247,24,6.9703068,1074513.69784178,1325.9959759867,0,0,0,0,0
248,24,6.7874043,1066506.40237844,1334.32471568156,0,0,0,0,0
249,24,7.2349378,1066408.0236843,1318.2121947896,0,0,0,0,0
250,24,6.4402896,1084633.81464104,1312.13716285342,0,0,0,0,0
251,24,6.6801686,1086124.01374295,1331.91734029632,0,0,0,0,0
252,24,6.8438015,1049458.35463642,1330.22627363048,0,0,0,0,0
253,24,6.8674109,1105623.86283024,1370.14881653611,0,0,0,0,0
254,24,6.7523106,1090291.18214776,1320.70834694756,0,0,0,0,0
255,24,6.9303962,1014636.865851,1372.79484998178,0,0,0,0,0
256,24,7.0914042,1088078.57906298,1345.10795344172,0,0,0,0,0
