trajectory,successful_hours,solve_time_s,daily_cost,daily_loss_MWh,solar_curt_MWh,wind_curt_MWh,max_solar_curt_MW,max_wind_curt_MW,curtailed_hours
1810,24,9.8022344,1101875.57159758,1272.06717939099,0,0,0,0,0
1811,24,9.786379,1120538.06733521,1286.29629171581,0,0,0,0,0
1812,24,9.4746699,1106644.74256456,1290.01581907249,0,0,0,0,0
1813,24,9.617784,1127237.64064711,1296.86962997407,0,0,0,0,0
1814,24,9.7274272,1108690.19424635,1278.72514537404,0,0,0,0,0
1815,24,9.5877822,1145802.40713419,1318.8976695273,0,0,0,0,0
1816,24,9.6135795,1103145.66711232,1272.53376466072,0,0,0,0,0
1817,24,9.5499683,1122395.27550686,1292.71662708586,0,0,0,0,0
1818,24,9.7648819,1136853.1859674,1311.01079420044,0,0,0,0,0
1819,24,9.5794591,1136258.77880896,1312.71206353834,0,0,0,0,0
1820,24,9.7064527,1124834.92985993,1295.3258329629,0,0,0,0,0
1821,24,9.4922736,1097026.39993553,1274.77669290454,0,0,0,0,0
1822,24,9.7446109,1124714.2608722,1297.4686907349,0,0,0,0,0
1823,24,9.7025943,1135719.59355477,1310.4672305956,0,0,0,0,0
1824,24,9.6389742,1113808.70443199,1288.3008397941,0,0,0,0,0
1825,24,9.3651142,1132453.34583073,1308.39484291769,0,0,0,0,0
1826,24,10.0572001,1129888.83529547,1300.45913578423,0,0,0,0,0
1827,24,10.0053275,1142191.2518304,1316.96119131479,0,0,0,0,0
1828,24,9.7204391,1112327.0021052,1286.66112399349,0,0,0,0,0
1829,24,9.795617,1134640.82970773,1307.94267209369,0,0,0,0,0
1830,24,9.9059954,1121186.47656205,1288.69264324932,0,0,0,0,0
1831,24,9.8855727,1143146.01681127,1317.11251822626,0,0,0,0,0
1832,24,9.6396246,1101627.44211752,1269.177450429,0,0,0,0,0
1833,24,9.8686994,1125762.31646775,1299.94310483186,0,0,0,0,0
1834,24,9.4167702,1135769.39836403,1310.31991849473,0,0,0,0,0
1835,24,9.813368,1102561.68142847,1275.49191083485,0,0,0,0,0
1836,24,9.7443787,1089701.72978786,1254.42784538898,0,0,0,0,0
1837,24,9.7685964,1131519.07878581,1305.43009517655,0,0,0,0,0
1838,24,9.7325987,1126159.02377429,1298.21426501331,0,0,0,0,0
1839,24,9.6807227,1139643.69204237,1314.83949441096,0,0,0,0,0
1840,24,9.8064206,1113628.7040231,1286.20014651188,0,0,0,0,0
1841,24,9.586496,1148583.54032736,1321.32246136233,0,0,0,0,0
1842,24,9.7518799,1118046.04760993,1282.93987544858,0,0,0,0,0
1843,24,9.8098461,1124967.48739944,1298.30602921355,0,0,0,0,0
1844,24,9.8386483,1041139.74904528,1233.80143371732,0,0,0,0,0
1845,24,9.4209979,1112310.10503387,1287.77204885811,0,0,0,0,0
1846,24,9.5320033,1108670.62213624,1272.87865772917,0,0,0,0,0
1847,24,10.1886106,1136657.16837179,1310.07754145118,0,0,0,0,0
1848,24,9.7095667,1127784.59857304,1299.97387497137,0,0,0,0,0
1849,24,9.6633455,1131365.339419,1300.39257832626,0,0,0,0,0
1850,24,10.0378413,1144333.73003545,1319.00360211414,0,0,0,0,0
1851,24,9.8563179,1085164.1777696,1264.63816184393,0,0,0,0,0
