trajectory,successful_hours,solve_time_s,daily_cost,daily_loss_MWh,solar_curt_MWh,wind_curt_MWh,max_solar_curt_MW,max_wind_curt_MW,curtailed_hours
214,24,8.0647534,959788.876062021,1279.99291823199,0,0,0,0,0
215,24,8.4411114,1021094.27788083,1249.45561207127,0,0,0,0,0
216,24,8.1716006,1037143.84629095,1268.30111687002,0,0,0,0,0
217,24,7.8505467,1062743.19941758,1274.18931578013,0,0,0,0,0
218,24,7.9661247,1040130.9067797,1244.6294879667,0,0,0,0,0
219,24,8.052698,1049219.63732434,1247.92873389581,0,0,0,0,0
220,24,7.831733,1087868.61145048,1281.69344536507,0,0,0,0,0
221,24,8.036234,1079706.07799995,1273.19991524747,0,0,0,0,0
222,24,7.9569766,990919.725314247,1310.93921921585,0,0,0,0,0
223,24,10.9490372,1051137.63602605,1243.01382351896,0,0,0,0,0
224,24,9.6608662,1117123.80856447,1312.64111352715,0,0,0,0,0
225,24,9.5039825,1090033.69176223,1291.56409370819,0,0,0,0,0
226,24,9.6885194,1077907.2716008,1271.53054431356,0,0,0,0,0
227,24,9.7666205,1072939.65183332,1254.45917633932,0,0,0,0,0
228,24,9.7355149,1058087.50891137,1260.42007327832,0,0,0,0,0
229,24,9.803796,1014871.21984227,1265.62451116298,0,0,0,0,0
230,24,9.7998281,1042653.45404624,1248.50402396059,0,0,0,0,0
231,24,9.628566,1031393.0684975,1247.79802976767,0,0,0,0,0
232,24,9.7724431,1061130.08923598,1250.38454488548,0,0,0,0,0
233,24,9.8771256,1061586.58460141,1266.9027791546,0,0,0,0,0
234,24,9.7075467,1098984.25026293,1305.08505293214,0,0,0,0,0
235,24,9.5824576,1124804.11597728,1312.21523335592,0,0,0,0,0
236,24,9.7334756,1124775.835364,1313.58935567525,0,0,0,0,0
237,24,9.6133155,1093955.20496194,1297.01516068422,0,0,0,0,0
238,24,9.6217118,1074092.78951267,1263.97734024639,0,0,0,0,0
239,24,9.7342707,1103909.18425282,1317.79259144282,0,0,0,0,0
240,24,10.216265,1096293.44207462,1298.51739256881,0,0,0,0,0
241,24,9.8744813,1111772.90028331,1306.58127238339,0,0,0,0,0
242,24,9.7641281,1066238.62739627,1286.50812864371,0,0,0,0,0
243,24,9.6238579,1079414.78988006,1272.81581094549,0,0,0,0,0
244,24,9.6928924,1113472.32027482,1298.78653732265,0,0,0,0,0
245,24,9.4203053,1111231.93722335,1305.44528214043,0,0,0,0,0
246,24,9.8554774,1037861.08135351,1251.99301469429,0,0,0,0,0
247,24,9.4848082,1073228.46724567,1277.04729103848,0,0,0,0,0
248,24,9.689574,1064732.04982773,1266.65535331691,0,0,0,0,0
249,24,9.5419956,1065178.983647,1271.82079529665,0,0,0,0,0
250,24,9.6341682,1083696.03932556,1275.60200155211,0,0,0,0,0
251,24,9.7042394,1084813.09415236,1282.80245441501,0,0,0,0,0
252,24,9.7861611,1047559.18737894,1256.19805184746,0,0,0,0,0
253,24,9.6035254,1104004.37014589,1309.06868027434,0,0,0,0,0
254,24,9.5389297,1089298.00830509,1283.65720109465,0,0,0,0,0
255,24,9.670302,1011278.21520113,1271.07637096539,0,0,0,0,0
256,24,9.3877166,1086536.87862001,1286.28729066767,0,0,0,0,0
