trajectory,successful_hours,solve_time_s,daily_cost,daily_loss_MWh,solar_curt_MWh,wind_curt_MWh,max_solar_curt_MW,max_wind_curt_MW,curtailed_hours
363,24,11.8258485,1125058.02731936,1304.0621695699,0,0,0,0,0
364,24,11.1963144,1142158.90241198,1320.81038056171,0,0,0,0,0
365,24,11.0868453,1121849.2282605,1298.83607855669,0,0,0,0,0
366,24,10.9329304,1086159.68776157,1270.18983169593,0,0,0,0,0
367,24,10.7664963,1148643.86946809,1324.94137840753,0,0,0,0,0
368,24,10.689444,1091816.1113846,1300.1447154148,0,0,0,0,0
369,24,10.9976016,1121902.22703436,1290.39934584732,0,0,0,0,0
370,24,11.0490459,1116854.30112809,1301.85625400717,0,0,0,0,0
371,24,10.7766381,1122206.59671542,1296.43566683877,0,0,0,0,0
372,24,11.031815,1123122.34471405,1297.58229005149,0,0,0,0,0
373,24,10.9724807,1127759.43904744,1296.02198026315,0,0,0,0,0
374,24,10.9759595,1129372.49573414,1306.42861261857,0,0,0,0,0
375,24,11.6276012,1098050.02097821,1292.93179289195,0,0,0,0,0
376,24,10.8156095,1116244.16508527,1276.98606031402,0,0,0,0,0
377,24,11.1236488,1122308.4484981,1295.06299859427,0,0,0,0,0
378,24,10.9724064,1115046.85187562,1275.896631104,0,0,0,0,0
379,24,11.5859913,1124836.55175739,1297.86015025428,0,0,0,0,0
380,24,11.4124137,1139073.54411454,1312.2031286344,0,0,0,0,0
381,24,11.1428777,1109730.8269259,1289.78767322223,0,0,0,0,0
382,24,11.4579343,1124641.23463671,1296.5899079714,0,0,0,0,0
383,24,11.8536487,1132232.31237644,1304.23071507471,0,0,0,0,0
384,24,12.3702764,1126624.5223514,1304.47142226203,0,0,0,0,0
385,24,11.6948202,1136812.07716667,1311.3869618904,0,0,0,0,0
386,24,11.9724547,1137429.78166158,1319.04623567546,0,0,0,0,0
387,24,11.8139556,1141637.34435425,1317.70269931819,0,0,0,0,0
388,24,11.6918798,1090145.5355072,1260.37279123795,0,0,0,0,0
389,24,11.3546663,1121290.50392277,1301.32180685421,0,0,0,0,0
390,24,11.1207081,1132453.0106235,1309.62473789952,0,0,0,0,0
391,24,11.2941408,1080369.14110153,1272.52050102583,0,0,0,0,0
392,24,11.3053437,1124152.88359131,1299.41614802454,0,0,0,0,0
393,24,11.8567603,1134368.17064975,1315.51766514914,0,0,0,0,0
394,24,11.056191,1142141.16003928,1321.08393545542,0,0,0,0,0
395,24,11.1432174,1123964.78699319,1295.86052698765,0,0,0,0,0
396,24,10.649962,1141612.7459512,1310.855460303,0,0,0,0,0
397,24,10.4541542,1090874.26723158,1270.59449750303,0,0,0,0,0
398,24,10.1771164,1130750.7732597,1300.96661927455,0,0,0,0,0
399,24,10.4275429,1147996.04354126,1323.69279359464,0,0,0,0,0
400,24,10.3937924,1093178.88797018,1277.48240017044,0,0,0,0,0
401,24,10.2412631,1135557.17257873,1320.29853468168,0,0,0,0,0
402,24,10.2297763,1134408.55809766,1312.51426266977,0,0,0,0,0
403,24,10.3072999,1121191.03635308,1289.98790425211,0,0,0,0,0
404,24,9.4785202,1135720.93359755,1307.28573939976,0,0,0,0,0
405,24,9.0716831,1117078.53529714,1302.69411528238,0,0,0,0,0
406,24,8.7983909,1135668.19633423,1312.47451403012,0,0,0,0,0
407,24,8.7469833,1145853.85014422,1314.86980220089,0,0,0,0,0
408,24,8.2102697,1105578.06053159,1274.61572452682,0,0,0,0,0
409,24,7.8587017,1017477.60493603,1265.85040218527,0,0,0,0,0
410,24,7.7838382,1086561.83270372,1260.52392522448,0,0,0,0,0
411,24,7.7100089,1130480.62301584,1303.87884066406,0,0,0,0,0
412,24,7.4614193,1090106.1886589,1281.28319266746,0,0,0,0,0
413,24,7.3946771,1136323.69256776,1308.1997495243,0,0,0,0,0
414,24,7.1240322,1144129.11189971,1320.31228132816,0,0,0,0,0
415,24,6.6675399,1128563.82994608,1304.8718877745,0,0,0,0,0
416,24,6.7193406,1140446.68086315,1322.12061459758,0,0,0,0,0
417,24,6.7262222,1129106.66252807,1307.16956193689,0,0,0,0,0
418,24,6.6980397,1120236.11167947,1298.29935293283,0,0,0,0,0
419,24,10.9202371,1122858.83410937,1293.85232464085,0,0,0,0,0
420,24,11.1923828,1089111.06618773,1275.60465113316,0,0,0,0,0
421,24,10.8280588,1084909.4688884,1259.20758271175,0,0,0,0,0
422,24,10.685955,1113711.46980368,1282.36894331418,0,0,0,0,0
423,24,10.7764934,1139421.48159686,1325.01469873298,0,0,0,0,0
424,24,10.830755,1116020.13423155,1288.39608607751,0,0,0,0,0
425,24,11.4272061,1138196.56829494,1314.93925324186,0,0,0,0,0
426,24,10.9893711,1111637.64264758,1282.79825652182,0,0,0,0,0
427,24,11.3444056,1147617.71361787,1318.37707321146,0,0,0,0,0
428,24,11.5078025,1132193.67059602,1298.88846359399,0,0,0,0,0
429,24,11.0373693,1130214.99747282,1300.23874557471,0,0,0,0,0
430,24,11.1286661,1119089.48323795,1305.93915770816,0,0,0,0,0
431,24,11.3181738,1072921.97077668,1253.9172327387,0,0,0,0,0
432,24,10.9088472,1102369.95688625,1276.44049792042,0,0,0,0,0
433,24,10.891286,1114215.88115911,1297.2167441698,0,0,0,0,0
434,24,11.0801633,1129057.35873454,1305.12557657067,0,0,0,0,0
435,24,11.0708474,1139166.16206238,1316.55060617924,0,0,0,0,0
436,24,10.835567,1130709.85657889,1306.11677121623,0,0,0,0,0
437,24,10.7803939,1142586.96141426,1317.91230504223,0,0,0,0,0
438,24,10.7312999,1109978.45229684,1277.3835355646,0,0,0,0,0
439,24,11.0034863,1117493.3650825,1284.0071684756,0,0,0,0,0
440,24,10.7309403,1123992.1940743,1303.28684091318,0,0,0,0,0
441,24,11.0397044,1108649.89320468,1288.30709504468,0,0,0,0,0
442,24,11.863564,1108694.55756489,1290.84240068981,0,0,0,0,0
443,24,11.0239691,1123759.79528205,1296.9829087368,0,0,0,0,0
444,24,9.8293533,1135897.5628384,1317.00899018629,0,0,0,0,0
445,24,9.8361298,1139018.63494852,1317.40302597019,0,0,0,0,0
446,24,9.3384476,1110858.19551331,1293.05324877259,0,0,0,0,0
447,24,8.8516822,1139274.58738444,1321.67835709274,0,0,0,0,0
448,24,8.4855057,1086298.17490193,1266.41762982854,0,0,0,0,0
449,24,8.3711752,1060843.34121217,1303.47583424654,0,0,0,0,0
450,24,8.1207713,1134821.14400647,1315.18821484032,0,0,0,0,0
451,24,7.7423303,1126646.15718545,1295.11885568741,0,0,0,0,0
452,24,7.7188705,1131748.96637774,1319.04434633452,0,0,0,0,0
453,24,7.6035318,1059018.77921638,1273.77747946296,0,0,0,0,0
454,24,7.3474892,1107436.25516316,1284.35074799305,0,0,0,0,0
455,24,7.2391077,1136715.05281315,1320.79637749653,0,0,0,0,0
456,24,7.0790628,1111227.82165126,1290.41646121624,0,0,0,0,0
457,24,7.6861626,1117735.57998872,1285.55538680601,0,0,0,0,0
458,24,8.4138781,1141199.03059399,1322.38870522899,0,0,0,0,0
459,24,8.4057642,1121606.19782205,1297.69815819048,0,0,0,0,0
460,24,8.309781,1109273.0443953,1287.9853734824,0,0,0,0,0
461,24,8.1127584,1121760.23023504,1299.68252030999,0,0,0,0,0
462,24,8.1060501,1130597.67052712,1309.31986596821,0,0,0,0,0
463,24,8.2726214,1129979.03146317,1300.70003729747,0,0,0,0,0
464,24,8.5331714,1140937.48010802,1318.14749531977,0,0,0,0,0
465,24,8.9048776,1110470.89941704,1281.80774044177,0,0,0,0,0
466,24,8.6393565,1131797.10360744,1302.0917458516,0,0,0,0,0
467,24,8.6496859,1109941.50799842,1281.51594715538,0,0,0,0,0
468,24,8.612272,1115798.57246665,1280.42320702081,0,0,0,0,0
469,24,8.4402841,1129553.24987057,1300.81034717461,0,0,0,0,0
470,24,8.0541345,1068940.1356235,1257.99810030933,0,0,0,0,0
471,24,8.3423986,1088711.92169608,1289.28130195676,0,0,0,0,0
472,24,8.2281173,1121241.06275209,1300.28975458051,0,0,0,0,0
473,24,8.1826074,1134637.20578232,1311.06021388218,0,0,0,0,0
474,24,8.3558266,1142072.90488809,1319.42489722267,0,0,0,0,0
475,24,8.3125761,1113022.09181395,1283.50296005263,0,0,0,0,0
476,24,8.2192948,1109943.4846818,1282.53497265235,0,0,0,0,0
477,24,8.2384665,1136555.23713055,1312.84533423943,0,0,0,0,0
478,24,8.1119991,1071841.10596312,1264.45971070759,0,0,0,0,0
479,24,8.2174369,1108793.70207646,1290.11905411973,0,0,0,0,0
480,24,8.5332349,1102652.44924364,1269.11772167116,0,0,0,0,0
481,24,8.3918125,1118183.43496139,1310.12696845763,0,0,0,0,0
482,24,8.2993732,1121835.90444476,1289.20493616474,0,0,0,0,0
483,24,8.5698754,1129435.89644374,1309.95693457775,0,0,0,0,0
484,24,8.5162514,1079053.27391114,1267.66895575576,0,0,0,0,0
485,24,8.7134303,1143147.17560286,1322.06156395272,0,0,0,0,0
486,24,8.7599001,1113821.81138515,1285.94729659374,0,0,0,0,0
487,24,8.4725342,1119346.35278197,1289.31369009002,0,0,0,0,0
488,24,8.1617906,1125537.49785488,1304.95870758595,0,0,0,0,0
489,24,8.3220869,1135133.61883795,1324.89310341534,0,0,0,0,0
490,24,8.4023124,1109113.37692016,1285.93510405134,0,0,0,0,0
491,24,8.4998118,1140734.77180892,1320.03998002822,0,0,0,0,0
492,24,8.7192921,1101384.09518906,1283.15994942743,0,0,0,0,0
493,24,8.9659768,1142740.19659001,1320.02639803112,0,0,0,0,0
494,24,8.4395118,1139262.47685131,1314.3270557592,0,0,0,0,0
495,24,8.4973038,1133692.98177239,1313.93061885318,0,0,0,0,0
496,24,8.9834627,1128930.8605771,1299.98927312669,0,0,0,0,0
497,24,8.5234882,1128850.2427546,1309.54256875639,0,0,0,0,0
498,24,8.4524489,1124017.13428653,1293.8230115925,0,0,0,0,0
499,24,8.4833988,1054485.7425233,1267.63965749096,0,0,0,0,0
500,24,8.7494767,1131132.23741225,1318.75337944612,0,0,0,0,0
501,24,8.6327501,1132411.6363022,1311.02151140418,0,0,0,0,0
502,24,8.7865443,1124623.2153419,1298.57067934731,0,0,0,0,0
503,24,8.7662662,1105217.00058786,1282.68593813103,0,0,0,0,0
504,24,8.9304917,1134000.18905385,1321.79750626657,0,0,0,0,0
505,24,8.7408762,1128358.6694243,1317.81808973109,0,0,0,0,0
506,24,8.7734394,1130921.19840901,1315.41743502982,0,0,0,0,0
507,24,8.916366,1125107.7939524,1290.99822402153,0,0,0,0,0
508,24,8.7114943,1132384.83964828,1304.34227432245,0,0,0,0,0
509,24,8.6802102,1085737.71377037,1287.67060181234,0,0,0,0,0
510,24,8.7468205,1135971.98841413,1312.38674812799,0,0,0,0,0
511,24,8.697181,1085408.69441182,1266.18145667927,0,0,0,0,0
512,24,8.5738683,1136683.58650252,1323.64138853026,0,0,0,0,0
513,24,8.6165661,1068631.3225207,1275.09267110375,0,0,0,0,0
514,24,8.7195364,1117681.24404954,1301.9451264627,0,0,0,0,0
515,24,8.7158038,1123938.66082257,1303.49431168391,0,0,0,0,0
516,24,8.6538506,1087577.80218412,1257.83254517279,0,0,0,0,0
517,24,8.6697274,1117247.09567514,1316.10902860111,0,0,0,0,0
518,24,8.5578649,1113894.56136353,1295.67896519043,0,0,0,0,0
519,24,9.5474798,1142141.95908333,1319.98709186521,0,0,0,0,0
520,24,12.1979024,1131716.1978708,1303.19646684299,0,0,0,0,0
521,24,11.9345367,1134941.96314222,1313.9497074932,0,0,0,0,0
522,24,11.1456684,1128431.827571,1302.74533637357,0,0,0,0,0
523,24,11.0913691,1108229.86485748,1285.20335344202,0,0,0,0,0
524,24,10.877027,1121667.91364365,1289.88113564323,0,0,0,0,0
525,24,10.7419828,1064002.66385157,1264.26843173065,0,0,0,0,0
526,24,10.8137645,1144550.93201089,1324.87561621248,0,0,0,0,0
527,24,10.8982097,1124589.85325933,1298.50701655303,0,0,0,0,0
528,24,11.0217043,1139149.02132072,1321.41850375493,0,0,0,0,0
529,24,10.8023504,1127695.70457883,1306.7925635317,0,0,0,0,0
530,24,10.9020787,1114843.39479408,1291.12426424133,0,0,0,0,0
531,24,11.0692015,1138242.82257482,1321.87738248896,0,0,0,0,0
532,24,11.0038105,1116211.26431648,1297.48467223722,0,0,0,0,0
533,24,11.7493515,1120623.48165759,1294.25841247847,0,0,0,0,0
534,24,10.7217402,1120882.51568289,1290.69448204391,0,0,0,0,0
535,24,11.2432422,1118481.17550491,1294.82357436704,0,0,0,0,0
536,24,10.9513826,1109880.85253923,1289.85156795025,0,0,0,0,0
537,24,11.5568808,1128573.0297048,1314.27436519693,0,0,0,0,0
538,24,11.4705531,1146359.52523424,1329.48023532908,0,0,0,0,0
539,24,11.2734569,1141991.99922824,1322.93812016956,0,0,0,0,0
540,24,11.3767378,1105070.71113223,1276.91703916163,0,0,0,0,0
541,24,11.8831822,1099674.07501323,1272.15065216542,0,0,0,0,0
542,24,12.5118725,1141064.06265601,1308.903122146,0,0,0,0,0
543,24,11.9207007,1049326.32649607,1259.60115607955,0,0,0,0,0
544,24,11.880006,1121384.27417604,1309.82524834496,0,0,0,0,0
545,24,11.8398507,1144716.08188503,1323.4219360863,0,0,0,0,0
546,24,11.6611964,1107197.84884489,1290.49341099597,0,0,0,0,0
547,24,11.4936982,1113088.41096295,1282.38662065684,0,0,0,0,0
548,24,11.0591417,1108058.78723643,1286.99532035618,0,0,0,0,0
549,24,11.2307386,1110205.63370844,1288.20817194072,0,0,0,0,0
550,24,11.4903889,1127559.44612775,1299.78185293606,0,0,0,0,0
551,24,11.8414794,1096157.73908657,1289.54921982233,0,0,0,0,0
552,24,10.8572407,1126596.85127978,1293.28908110938,0,0,0,0,0
553,24,11.3301799,1139727.9588018,1325.01984081302,0,0,0,0,0
554,24,10.4412806,1100561.87793507,1275.30889375117,0,0,0,0,0
555,24,10.443158,1106621.01465934,1293.8981951891,0,0,0,0,0
556,24,10.1828455,1112238.57856208,1302.6411432252,0,0,0,0,0
557,24,10.2270985,1093919.27884246,1269.6252649082,0,0,0,0,0
558,24,10.3909339,1115466.24042745,1279.50241294292,0,0,0,0,0
559,24,10.2215302,1139831.48931438,1324.55016828562,0,0,0,0,0
560,24,10.2771836,1140750.79864503,1312.37410308069,0,0,0,0,0
561,24,10.1605801,1074047.72210727,1252.94981194608,0,0,0,0,0
562,24,9.4684556,1128837.8343649,1296.16963538097,0,0,0,0,0
563,24,9.0322465,1086451.87921539,1256.24166876445,0,0,0,0,0
564,24,8.688162,1140654.55669729,1322.31373768306,0,0,0,0,0
565,24,8.6239391,1138197.17507131,1321.6671237889,0,0,0,0,0
566,24,8.235212,1130772.09001059,1306.96981120578,0,0,0,0,0
567,24,7.9307,1131148.75307485,1314.98774592419,0,0,0,0,0
568,24,7.8585641,1116337.84185511,1284.40453140102,0,0,0,0,0
569,24,7.6311518,1128980.68583864,1306.84634387434,0,0,0,0,0
570,24,7.5525005,1108514.73050795,1287.10202870061,0,0,0,0,0
571,24,7.287703,1109383.63349562,1273.63771769941,0,0,0,0,0
572,24,7.0323196,1096060.2661445,1271.60106992845,0,0,0,0,0
573,24,6.6937063,1120927.83021769,1293.39566953917,0,0,0,0,0
574,24,6.6621825,1121375.08083146,1306.8900020597,0,0,0,0,0
575,24,6.6227801,1122524.33643744,1296.16186031621,0,0,0,0,0
576,24,6.7222791,1129044.13587921,1304.02706896081,0,0,0,0,0
577,24,10.8663116,1094439.72611105,1267.08857613743,0,0,0,0,0
578,24,11.1145338,1123416.98522684,1289.09721111037,0,0,0,0,0
579,24,10.8899791,1119027.54381103,1299.29805661055,0,0,0,0,0
580,24,10.6824277,1129650.00753555,1310.50041697411,0,0,0,0,0
581,24,10.6933412,1110234.9951427,1294.0947320508,0,0,0,0,0
582,24,10.8573462,1116561.13026756,1291.68393900456,0,0,0,0,0
583,24,11.4565614,1130477.8035636,1312.9698123161,0,0,0,0,0
584,24,11.0171456,1079431.20627312,1261.17102557269,0,0,0,0,0
585,24,11.1669148,1128260.74639036,1293.4702985996,0,0,0,0,0
586,24,11.5339465,1109196.87402419,1273.18560982951,0,0,0,0,0
587,24,11.1115467,1129450.32621899,1305.13605920654,0,0,0,0,0
588,24,11.1232817,1131732.34405105,1313.53059306498,0,0,0,0,0
589,24,11.2473423,1124412.38372674,1288.74878228619,0,0,0,0,0
590,24,11.1502714,1141784.83786306,1315.11153787318,0,0,0,0,0
591,24,11.0423192,1129485.62391293,1307.82893419939,0,0,0,0,0
592,24,11.0458236,1136553.47997534,1322.6824602681,0,0,0,0,0
593,24,10.9426691,1101702.41769384,1281.22730758229,0,0,0,0,0
594,24,10.9643011,1143740.70804554,1323.35947470064,0,0,0,0,0
595,24,10.5916586,1083774.10707995,1267.16473837666,0,0,0,0,0
596,24,10.6911145,1112385.36420149,1293.63639548853,0,0,0,0,0
597,24,10.9605439,1141056.50931099,1314.58081145039,0,0,0,0,0
