N_requested,N_valid,scenario,scenario_label,metric,estimate,bootstrap_se,ci_low,ci_high,unit
800,800,S3_Low_Dist,Low/Distributed,solar_curt_MWh,0,0,0,0,MWh/day
800,800,S3_Low_Dist,Low/Distributed,wind_curt_MWh,0,0,0,0,MWh/day
800,800,S3_Low_Dist,Low/Distributed,curtailed_hours,0,0,0,0,h/day
800,800,S3_Low_Dist,Low/Distributed,trajectory_curt_prob_pct,0,0,0,0,%
800,800,S4_High_Dist,High/Distributed,daily_cost,1079852.64691583,1386.18214224472,1077061.00360687,1082796.53722639,currency/day
800,800,S4_High_Dist,High/Distributed,daily_loss_MWh,1297.30342454336,0.843508033896184,1295.75054676687,1299.00035411945,MWh/day
800,800,S4_High_Dist,High/Distributed,solar_curt_MWh,0,0,0,0,MWh/day
800,800,S4_High_Dist,High/Distributed,wind_curt_MWh,0,0,0,0,MWh/day
800,800,S4_High_Dist,High/Distributed,curtailed_hours,0,0,0,0,h/day
800,800,S4_High_Dist,High/Distributed,trajectory_curt_prob_pct,0,0,0,0,%
1200,1200,S1_Low_Conc,Low/Concentrated,daily_cost,1122191.24211011,779.569426751748,1120678.43221306,1123627.35444448,currency/day
1200,1200,S1_Low_Conc,Low/Concentrated,daily_loss_MWh,1305.7125365011,0.617452925665621,1304.45435083706,1306.96269952296,MWh/day
1200,1200,S1_Low_Conc,Low/Concentrated,solar_curt_MWh,0,0,0,0,MWh/day
1200,1200,S1_Low_Conc,Low/Concentrated,wind_curt_MWh,0,0,0,0,MWh/day
1200,1200,S1_Low_Conc,Low/Concentrated,curtailed_hours,0,0,0,0,h/day
1200,1200,S1_Low_Conc,Low/Concentrated,trajectory_curt_prob_pct,0,0,0,0,%
1200,1200,S2_High_Conc,High/Concentrated,daily_cost,1078597.27443296,1447.14782705906,1075740.60114518,1081322.46504907,currency/day
1200,1200,S2_High_Conc,High/Concentrated,daily_loss_MWh,1364.41108930825,1.84132417321128,1360.98466384271,1368.14534777042,MWh/day
1200,1200,S2_High_Conc,High/Concentrated,solar_curt_MWh,0,0,0,0,MWh/day
1200,1200,S2_High_Conc,High/Concentrated,wind_curt_MWh,0.184587577442618,0.0646069211656315,0.0727258012551328,0.321108541164925,MWh/day
1200,1200,S2_High_Conc,High/Concentrated,curtailed_hours,0.0225,0.00717334344373092,0.01,0.0375,h/day
1200,1200,S2_High_Conc,High/Concentrated,trajectory_curt_prob_pct,1.16666666666667,0.310844256710185,0.583333333333333,1.83333333333333,%
