N_requested,N_valid_pairs,contrast,contrast_label,metric,estimate_A_minus_B,bootstrap_se,ci_low,ci_high,unit
1200,1200,S2_minus_S4,High penetration: concentrated minus distributed,daily_solar_curt_MWh,0,0,0,0,MWh/day
1200,1200,S2_minus_S4,High penetration: concentrated minus distributed,daily_wind_curt_MWh,0.184587577442618,0.0655458299617662,0.0674724654886784,0.320497804722101,MWh/day
1200,1200,S2_minus_S4,High penetration: concentrated minus distributed,curtailed_hours,0.0225,0.00732026298291447,0.01,0.03875,h/day
1200,1200,S2_minus_S4,High penetration: concentrated minus distributed,LCP80_interaction_branch_pp,3.76388888888889,0.364494683983243,3.02951388888889,4.47395833333333,percentage points
1200,1200,S2_minus_S1,Concentrated: high minus low penetration,daily_cost,-43593.9676771575,710.603437811211,-44967.2522514082,-42126.1759994197,currency/day
1200,1200,S2_minus_S1,Concentrated: high minus low penetration,daily_loss_MWh,58.6985528071512,1.77049909549925,55.2965778701978,62.3858596835661,MWh/day
1200,1200,S2_minus_S1,Concentrated: high minus low penetration,daily_solar_curt_MWh,0,0,0,0,MWh/day
1200,1200,S2_minus_S1,Concentrated: high minus low penetration,daily_wind_curt_MWh,0.184587577442618,0.0650221851637309,0.0720387813492469,0.322514085920236,MWh/day
1200,1200,S2_minus_S1,Concentrated: high minus low penetration,curtailed_hours,0.0225,0.00723975575340249,0.01,0.0383333333333333,h/day
1200,1200,S2_minus_S1,Concentrated: high minus low penetration,LCP80_interaction_branch_pp,4.79513888888889,0.209458376804789,4.38020833333333,5.20486111111111,percentage points
1200,1200,S4_minus_S3,Distributed: high minus low penetration,daily_cost,-44009.6301581049,554.31478786433,-45134.6734547888,-42955.7298900359,currency/day
1200,1200,S4_minus_S3,Distributed: high minus low penetration,daily_loss_MWh,-1.5506659312611,0.556181052881698,-2.5892685555301,-0.423551378484623,MWh/day
1200,1200,S4_minus_S3,Distributed: high minus low penetration,daily_solar_curt_MWh,0,0,0,0,MWh/day
1200,1200,S4_minus_S3,Distributed: high minus low penetration,daily_wind_curt_MWh,0,0,0,0,MWh/day
1200,1200,S4_minus_S3,Distributed: high minus low penetration,curtailed_hours,0,0,0,0,h/day
1200,1200,S4_minus_S3,Distributed: high minus low penetration,LCP80_interaction_branch_pp,3.80902777777778,0.157976616976066,3.50694444444445,4.11805555555556,percentage points
1600,1600,S1_minus_S3,Low penetration: concentrated minus distributed,daily_cost,-1730.47379884223,443.676967365133,-2638.03679270237,-880.642371767223,currency/day
1600,1600,S1_minus_S3,Low penetration: concentrated minus distributed,daily_loss_MWh,7.07968796729374,0.488729515614473,6.1847164142123,8.00594923102681,MWh/day
1600,1600,S1_minus_S3,Low penetration: concentrated minus distributed,daily_solar_curt_MWh,0,0,0,0,MWh/day
1600,1600,S1_minus_S3,Low penetration: concentrated minus distributed,daily_wind_curt_MWh,0,0,0,0,MWh/day
1600,1600,S1_minus_S3,Low penetration: concentrated minus distributed,curtailed_hours,0,0,0,0,h/day
1600,1600,S1_minus_S3,Low penetration: concentrated minus distributed,LCP80_interaction_branch_pp,3.01822916666667,0.216952753134736,2.59635416666667,3.43619791666667,percentage points
1600,1600,S2_minus_S4,High penetration: concentrated minus distributed,daily_cost,-1927.61959564566,864.126083039776,-3647.91688424662,-176.900199309493,currency/day
1600,1600,S2_minus_S4,High penetration: concentrated minus distributed,daily_loss_MWh,67.5268969134052,1.46598174322773,64.5671563459576,70.2172929961602,MWh/day
1600,1600,S2_minus_S4,High penetration: concentrated minus distributed,daily_solar_curt_MWh,0,0,0,0,MWh/day
1600,1600,S2_minus_S4,High penetration: concentrated minus distributed,daily_wind_curt_MWh,0.178194892249658,0.0573373129338763,0.0768331623245167,0.296562014363659,MWh/day
1600,1600,S2_minus_S4,High penetration: concentrated minus distributed,curtailed_hours,0.02125,0.00601728551029552,0.010625,0.034375,h/day
1600,1600,S2_minus_S4,High penetration: concentrated minus distributed,LCP80_interaction_branch_pp,4.19010416666667,0.322632053448757,3.55598958333333,4.84505208333333,percentage points
1600,1600,S2_minus_S1,Concentrated: high minus low penetration,daily_cost,-44239.5317107271,626.261990041214,-45511.0340645532,-43067.7709313125,currency/day
1600,1600,S2_minus_S1,Concentrated: high minus low penetration,daily_loss_MWh,59.2777491061268,1.60754008873029,56.0796492528369,62.422950514675,MWh/day
1600,1600,S2_minus_S1,Concentrated: high minus low penetration,daily_solar_curt_MWh,0,0,0,0,MWh/day
1600,1600,S2_minus_S1,Concentrated: high minus low penetration,daily_wind_curt_MWh,0.178194892249658,0.055688611650334,0.0775105776490686,0.294053583537953,MWh/day
1600,1600,S2_minus_S1,Concentrated: high minus low penetration,curtailed_hours,0.02125,0.00619626234956241,0.01125,0.0353125,h/day
