zone,hour_utc,envelope_Wm2,n_samples,alpha,beta,mean_kt,std_kt,KS_stat,KS_pvalue
Z2_NE,16,630.0,727,0.7297942156992513,0.5925682447258654,0.49610195410580554,0.3189176092436054,0.10984911512908835,4.276801188518015e-08
Z2_NE,17,453.0,523,0.8368632150698384,0.6003370224185223,0.537369614087515,0.3086419080540825,0.0931719976982407,0.00021109668217951288
Z2_NE,18,269.0,354,0.9418176602779141,0.6265604376716849,0.5622522094806041,0.29475332330104015,0.09353099500686629,0.003806039775523157
Z2_NE,19,96.44999999999999,152,1.3708138687074312,0.6865212903380963,0.6392576491773759,0.25716719432963775,0.08495819925030529,0.2102928162343709
Z2_NE,20,0.0,0,,,,,,
Z2_NE,21,0.0,0,,,,,,
Z2_NE,22,0.0,0,,,,,,
Z2_NE,23,0.0,0,,,,,,
Z3_CW,0,0.0,0,,,,,,
Z3_CW,1,0.0,0,,,,,,
Z3_CW,2,0.0,0,,,,,,
Z3_CW,3,0.0,0,,,,,,
Z3_CW,4,0.0,0,,,,,,
Z3_CW,5,0.0,0,,,,,,
Z3_CW,6,132.14999999999998,218,1.0245452722486028,0.7222468460263808,0.5306905426138633,0.2737579651245791,0.1604816240191524,2.2610439887643274e-05
Z3_CW,7,309.75,426,0.8857773364025947,0.7135715351471185,0.4919924712114495,0.2793400945954844,0.16924112879503567,3.894233756399642e-11
Z3_CW,8,502.0,613,0.7496441412858504,0.6578285664244264,0.4722502927929392,0.29903101055984543,0.12577594951806537,6.525205735940011e-09
Z3_CW,9,677.0,731,0.8237011415704442,0.6509015750810132,0.5000694045307312,0.2984812121044719,0.13873945677595123,9.76912533976037e-13
Z3_CW,10,824.5,731,0.9540522919751654,0.6292971020498831,0.5551944333878925,0.28663041173127785,0.12280775665123961,4.569929582253143e-10
Z3_CW,11,930.0,731,0.9910042167115123,0.6113516062323895,0.5815739949693306,0.2870942174289008,0.1055476108759354,1.518836652668196e-07
Z3_CW,12,981.2040000000001,729,0.9961351054993226,0.5943219604302967,0.5936943709536463,0.28857417452328715,0.09306838443052284,6.032157851460264e-06
Z3_CW,13,974.0,730,0.9765388754487007,0.5855645132245862,0.5891753520294788,0.28961377714400466,0.10202948875975026,4.543432924122518e-07
Z3_CW,14,912.0,729,0.9122345032098544,0.5756434750557741,0.5759246390152335,0.2990629723983345,0.09637334160131406,2.4076411777782516e-06
Z3_CW,15,800.0,731,0.8741245821514687,0.5760641481288109,0.5581620896032832,0.3025606165531854,0.09950999975345082,9.393607427086946e-07
Z3_CW,16,647.0,726,0.7584436851281333,0.5948636848015,0.5033754363219095,0.31479997237480367,0.12026452363003592,1.3142345700754749e-09
Z3_CW,17,465.35,554,0.797122438536573,0.5711798147551113,0.5356737311576745,0.31301846667822303,0.10148971262192114,2.021751569197496e-05
Z3_CW,18,279.0,376,0.9081611978102425,0.591928452274242,0.5612279436437123,0.30091040551327297,0.10266883655866477,0.0006646729316451725
Z3_CW,19,104.0,177,1.4200639364077683,0.6914455539810744,0.6395342025206432,0.24045785089456254,0.12379562787593501,0.008013214190142523
Z3_CW,20,0.0,0,,,,,,
Z3_CW,21,0.0,0,,,,,,
Z3_CW,22,0.0,0,,,,,,
Z3_CW,23,0.0,0,,,,,,
Z4_CI,0,0.0,0,,,,,,
Z4_CI,1,0.0,0,,,,,,
Z4_CI,2,0.0,0,,,,,,
Z4_CI,3,0.0,0,,,,,,
Z4_CI,4,0.0,0,,,,,,
Z4_CI,5,0.0,0,,,,,,
Z4_CI,6,143.0,234,1.2901603225513427,0.6349463530572009,0.6403423017153786,0.2620965220154952,0.11148939480144221,0.005465865494606533
Z4_CI,7,329.5,446,0.9341911948611152,0.616475469599132,0.5642714001374551,0.29630438076160626,0.09163741970492056,0.0010396430546204796
Z4_CI,8,519.0,659,0.721365671070757,0.5572578415592814,0.520048486788823,0.32465956819567443,0.0807546836969465,0.0003472449939740226
Z4_CI,9,698.0,730,0.8937140776001725,0.5904713114700447,0.5594401177532676,0.3046798829640046,0.09663077069601245,2.1968842574172506e-06
Z4_CI,10,843.5,731,1.0328602679228926,0.5767387391332112,0.6101834809037,0.289639756773356,0.08461662495440148,5.302280514240471e-05
Z4_CI,11,945.505,731,1.0756377503399812,0.5521252306983245,0.6361522851709519,0.28438980028128596,0.07433590741490387,0.0005856813626601772
Z4_CI,12,996.604,729,1.1062981288935314,0.5535043612288985,0.6448460846356585,0.2822469301099606,0.0707854122289086,0.0012741814270886653
Z4_CI,13,981.55,730,1.1049766890528194,0.5532630939136484,0.6424857082556734,0.28121055379160975,0.07304995216054011,0.0007821175488433857
Z4_CI,14,917.6,729,1.0321832931666879,0.5566952962877078,0.6240619276385106,0.2894982578540538,0.07173814337784035,0.0010442520973933532
Z4_CI,15,797.0,731,1.0050456916689035,0.578144666127593,0.5996541255082757,0.291831852386648,0.09464717456205723,3.76772268791444e-06
Z4_CI,16,639.0,723,0.8125861900484567,0.5697273971742549,0.5423384606393548,0.31642928215492694,0.09348617785468233,5.976641658639672e-06
